"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
AeroFX(N),32.71549548745657,
AeroFY(N),5.226790379342574,
AeroFZ(N),5053.798072153356,5053.906664856766
AeroMX(Nm),1.5423148849996342,
AeroMY(Nm),2.2980340699023616,
AeroMZ(Nm),0.0085716736778428,2.7676288162456117
Auto-AddedZeroLengthBoatTailFX(N),0.0,
Auto-AddedZeroLengthBoatTailFY(N),0.0,
Auto-AddedZeroLengthBoatTailFZ(N),267.5792033576534,267.5792033576534
Auto-AddedZeroLengthBoatTailMX(Nm),0.0,
Auto-AddedZeroLengthBoatTailMY(Nm),0.0,
Auto-AddedZeroLengthBoatTailMZ(Nm),0.0,0.0
FirstStage.AvionicsBayFX(N),0.0,
FirstStage.AvionicsBayFY(N),0.0,
FirstStage.AvionicsBayFZ(N),0.0,0.0
FirstStage.AvionicsBayMX(Nm),0.0,
FirstStage.AvionicsBayMY(Nm),0.0,
FirstStage.AvionicsBayMZ(Nm),0.0,0.0
FirstStage.AvionicsTubeFX(N),3.861892368313351,
FirstStage.AvionicsTubeFY(N),0.1860478129772243,
FirstStage.AvionicsTubeFZ(N),47.808844814407536,47.96492957298335
FirstStage.AvionicsTubeMX(Nm),5.160352791309302e-05,
FirstStage.AvionicsTubeMY(Nm),0.0045190872981185,
FirstStage.AvionicsTubeMZ(Nm),2.640714667717971e-07,0.004519381926972181
FirstStage.FinCanFX(N),5.779521682234464,
FirstStage.FinCanFY(N),0.2784301752831565,
FirstStage.FinCanFZ(N),66.00572952439308,66.25886147743005
FirstStage.FinCanMX(Nm),0.0007185703166184,
FirstStage.FinCanMY(Nm),0.062927519143733,
FirstStage.FinCanMZ(Nm),3.616119750826408e-07,0.06293162169383187
FirstStage.FinsFX(N),5.661888652777614,
FirstStage.FinsFY(N),3.810890869113731,
FirstStage.FinsFZ(N),100.24776561456856,100.47982077534883
FirstStage.FinsMX(Nm),0.5127109396375573,
FirstStage.FinsMY(Nm),0.6527572324814742,
FirstStage.FinsMZ(Nm),0.008575068310533,0.8300831548570484
FirstStage.MotorAssemblyFX(N),0.0,
FirstStage.MotorAssemblyFY(N),0.0,
FirstStage.MotorAssemblyFZ(N),0.0,0.0
FirstStage.MotorAssemblyMX(Nm),0.0,
FirstStage.MotorAssemblyMY(Nm),0.0,
FirstStage.MotorAssemblyMZ(Nm),0.0,0.0
FirstStage.MotorFX(N),0.0,
FirstStage.MotorFY(N),0.0,
FirstStage.MotorFZ(N),5061.724304583545,5061.724304583545
FirstStage.MotorMX(Nm),0.0,
FirstStage.MotorMY(Nm),0.0,
FirstStage.MotorMZ(Nm),0.0,0.0
FirstStage.NoseConeShellFX(N),1.8351167478368835,
FirstStage.NoseConeShellFY(N),1.394405782696312,
FirstStage.NoseConeShellFZ(N),205.33076117678013,205.3436960473852
FirstStage.NoseConeShellMX(Nm),0.0,
FirstStage.NoseConeShellMY(Nm),0.0,
FirstStage.NoseConeShellMZ(Nm),1.6632932218243053e-06,1.6632932218243053e-06
FirstStage.NoseConeTubeFX(N),1.5847075580320298,
FirstStage.NoseConeTubeFY(N),0.07634375773893,
FirstStage.NoseConeTubeFZ(N),23.44376832352641,23.497391336508183
FirstStage.NoseConeTubeMX(Nm),0.000673163336022,
FirstStage.NoseConeTubeMY(Nm),0.0589510834704839,
FirstStage.NoseConeTubeMZ(Nm),1.338740084885631e-07,0.05895492677663884
FirstStage.PVTubeFX(N),7.057941224848538,
FirstStage.PVTubeFY(N),0.3400184168204445,
FirstStage.PVTubeFZ(N),141.59833510136187,141.77453456222227
FirstStage.PVTubeMX(Nm),4.358774034223937e-05,
FirstStage.PVTubeMY(Nm),0.0038171189393492,
FirstStage.PVTubeMZ(Nm),4.609609934832061e-07,0.0038173678236098157
FirstStage.PayloadFX(N),0.0,
FirstStage.PayloadFY(N),0.0,
FirstStage.PayloadFZ(N),0.0,0.0
FirstStage.PayloadMX(Nm),0.0,
FirstStage.PayloadMY(Nm),0.0,
FirstStage.PayloadMZ(Nm),0.0,0.0
FirstStage.RecoverySystemFX(N),0.0,
FirstStage.RecoverySystemFY(N),0.0,
FirstStage.RecoverySystemFZ(N),0.0,0.0
FirstStage.RecoverySystemMX(Nm),0.0,
FirstStage.RecoverySystemMY(Nm),0.0,
FirstStage.RecoverySystemMZ(Nm),0.0,0.0
FirstStage.RecoveryTubeFX(N),4.058982047799687,
FirstStage.RecoveryTubeFY(N),0.1955426668808896,
FirstStage.RecoveryTubeFZ(N),49.75100085068194,49.91668716815536
FirstStage.RecoveryTubeMX(Nm),0.0003862672507549,
FirstStage.RecoveryTubeMY(Nm),0.0338266683918498,
FirstStage.RecoveryTubeMZ(Nm),2.744623614992938e-07,0.03382887371693751
FirstStage.UpperCasingFX(N),0.3805295669812206,
FirstStage.UpperCasingFY(N),0.0183321250200834,
FirstStage.UpperCasingFZ(N),7.488224272877059,7.497909147159616
FirstStage.UpperCasingMX(Nm),3.726360464616593e-07,
FirstStage.UpperCasingMY(Nm),3.2632939887792976e-05,
FirstStage.UpperCasingMZ(Nm),4.764443476997487e-08,3.263510216523915e-05
FirstStage.intermediateTubeFX(N),2.49491563863278,
FirstStage.intermediateTubeFY(N),0.1201933026251137,
FirstStage.intermediateTubeFZ(N),33.70643410546461,33.798857237781256
FirstStage.intermediateTubeMX(Nm),0.0006442972334435,
FirstStage.intermediateTubeMY(Nm),0.0564231858095293,
FirstStage.intermediateTubeMZ(Nm),1.887142282681006e-07,0.05642686430998363
GravityFX(N),283.18207816495254,
GravityFY(N),6.415294212863642,
GravityFZ(N),543.9488908277101,613.2810458724083
TotalFX(N),271.1394637820781,
TotalFY(N),7.834851720625278,
TotalFZ(N),4508.208709420388,4516.361783716552
